id,student_skills,student_fields_of_study,project_prefered_skills,project_prefered_fields_of_study,match_persentage
165,"['CSS', 'Spring Boot', 'TensorFlow']",Computer Science,"['AWS', 'Data Analysis', 'Machine Learning', 'Python', 'SQL']","['Mathematics', 'Software Engineering', 'Electrical Engineering']",0.0
166,"['HTML', 'Java', 'Data Analysis', 'TensorFlow']",AI/ML,"['Java', 'Kubernetes', 'SQL', 'C#', 'HTML']",['Software Engineering'],28.0
167,"['Docker', 'React', 'SQL', 'Kubernetes', 'Data Analysis']",Mechanical Engineering,"['Machine Learning', 'Docker', 'React', 'CSS']","['Mathematics', 'Software Engineering']",35.0
168,"['Python', 'Java']",Physics,"['CSS', 'React', 'TensorFlow', 'AWS', 'Docker', 'Data Analysis']",['Computer Science'],0.0
169,"['Spring Boot', 'SQL']",Physics,"['React', 'Machine Learning', 'Kubernetes', 'HTML']","['AI/ML', 'Software Engineering', 'Physics']",30.0
170,"['AWS', 'Machine Learning', 'React', 'Kubernetes', 'Python']",Computer Science,"['CSS', 'Kubernetes', 'Java', 'Python', 'C#']",['Computer Science'],58.0
171,"['C#', 'Spring Boot']",Software Engineering,"['TensorFlow', 'Docker', 'HTML', 'Python', 'Java']",['Software Engineering'],30.0
172,"['Machine Learning', 'Kubernetes']",Electrical Engineering,"['SQL', 'C#', 'Docker', 'Machine Learning', 'Data Analysis', 'Java']","['Electrical Engineering', 'Data Science', 'Software Engineering']",41.67
173,"['Docker', 'Machine Learning', 'TensorFlow', 'AWS', 'Data Analysis']",Data Science,"['SQL', 'TensorFlow', 'Python']","['Physics', 'Computer Science', 'Data Science']",53.33
174,"['Spring Boot', 'Machine Learning', 'Docker']",AI/ML,"['SQL', 'HTML', 'Docker', 'CSS']","['Mathematics', 'Data Science']",17.5
175,"['Python', 'Data Analysis', 'Kubernetes']",Physics,"['Docker', 'TensorFlow', 'CSS', 'Java', 'HTML', 'Kubernetes']","['Mathematics', 'Electrical Engineering']",11.67
176,"['SQL', 'React', 'HTML', 'Machine Learning', 'Java']",Mathematics,"['Python', 'SQL', 'C#', 'Data Analysis', 'Machine Learning']",['Physics'],28.0
177,"['Docker', 'Data Analysis']",Mechanical Engineering,"['Docker', 'CSS', 'SQL', 'C#', 'Spring Boot']",['Mathematics'],14.0
178,"['HTML', 'AWS', 'Docker']",AI/ML,"['React', 'CSS', 'HTML']","['Mechanical Engineering', 'Software Engineering', 'Data Science']",23.33
179,"['AWS', 'SQL']",Electrical Engineering,"['TensorFlow', 'Machine Learning', 'C#', 'CSS']",['Software Engineering'],0.0
180,"['TensorFlow', 'HTML', 'SQL']",Software Engineering,"['Python', 'Java', 'C#', 'Data Analysis', 'TensorFlow', 'Docker']",['Computer Science'],11.67
181,"['Docker', 'SQL', 'Kubernetes', 'TensorFlow']",Computer Science,"['React', 'Machine Learning', 'SQL']","['AI/ML', 'Computer Science', 'Mathematics']",53.33
182,"['TensorFlow', 'Python', 'Kubernetes', 'Data Analysis']",Software Engineering,"['Machine Learning', 'Python', 'Data Analysis', 'React', 'C#', 'Java']",['Computer Science'],23.33
183,"['HTML', 'Spring Boot']",Data Science,"['Kubernetes', 'SQL', 'AWS', 'HTML']","['Mechanical Engineering', 'Computer Science', 'Software Engineering']",17.5
184,"['AWS', 'Spring Boot', 'HTML', 'Python', 'TensorFlow']",Electrical Engineering,"['C#', 'Kubernetes', 'SQL', 'Java']",['Computer Science'],0.0
185,"['Java', 'TensorFlow', 'Docker']",Mechanical Engineering,"['Spring Boot', 'Kubernetes', 'Data Analysis', 'React', 'Java', 'Docker']","['Mechanical Engineering', 'Data Science', 'Software Engineering']",53.33
186,"['Kubernetes', 'Python', 'C#', 'Docker', 'HTML']",Computer Science,"['React', 'TensorFlow', 'HTML', 'Docker', 'Machine Learning']","['Software Engineering', 'Mechanical Engineering', 'Electrical Engineering']",28.0
187,"['Python', 'CSS', 'TensorFlow', 'HTML']",Electrical Engineering,"['Spring Boot', 'TensorFlow', 'Machine Learning']",['Computer Science'],23.33
188,"['TensorFlow', 'Docker']",Data Science,"['React', 'Docker', 'Data Analysis', 'Machine Learning', 'TensorFlow']","['Computer Science', 'Data Science', 'Physics']",58.0
189,"['Machine Learning', 'Java']",Computer Science,"['Kubernetes', 'Docker', 'SQL', 'Data Analysis', 'Spring Boot']",['Mathematics'],0.0
190,"['AWS', 'Python', 'Machine Learning', 'Docker', 'CSS']",Data Science,"['AWS', 'HTML', 'Java']","['Physics', 'Data Science']",53.33
191,"['Spring Boot', 'C#', 'Python', 'AWS']",Data Science,"['SQL', 'Machine Learning', 'CSS', 'HTML', 'AWS']",['Data Science'],44.0
192,"['Java', 'Python', 'CSS', 'React']",Mechanical Engineering,"['Data Analysis', 'Spring Boot', 'CSS', 'C#', 'TensorFlow', 'HTML']",['Mathematics'],11.67
193,"['Spring Boot', 'Docker', 'Machine Learning']",Software Engineering,"['Docker', 'HTML', 'CSS']","['Mechanical Engineering', 'AI/ML', 'Data Science']",23.33
194,"['Spring Boot', 'SQL', 'AWS', 'Machine Learning']",AI/ML,"['Machine Learning', 'React', 'Data Analysis']","['Software Engineering', 'AI/ML', 'Mathematics']",53.33
195,"['CSS', 'Data Analysis', 'Docker', 'Machine Learning', 'Java']",Computer Science,"['TensorFlow', 'Docker', 'Python', 'SQL', 'Machine Learning']","['Mechanical Engineering', 'Mathematics']",28.0
196,"['CSS', 'Machine Learning']",Data Science,"['Docker', 'React', 'Spring Boot', 'TensorFlow', 'CSS', 'C#']",['Data Science'],41.67
197,"['TensorFlow', 'Docker', 'Spring Boot']",Mathematics,"['Docker', 'Machine Learning', 'Kubernetes', 'React', 'HTML']","['AI/ML', 'Software Engineering', 'Mathematics']",44.0
198,"['Kubernetes', 'Python', 'TensorFlow', 'Data Analysis']",Data Science,"['Docker', 'HTML', 'Kubernetes', 'Java', 'CSS']",['Mechanical Engineering'],14.0
199,"['Spring Boot', 'CSS', 'HTML']",Software Engineering,"['React', 'Kubernetes', 'AWS']",['Software Engineering'],30.0
200,"['AWS', 'CSS']",Mathematics,"['Machine Learning', 'Docker', 'Data Analysis', 'TensorFlow', 'Java', 'React']","['Data Science', 'Mechanical Engineering', 'AI/ML']",0.0
