id,student_skills,student_fields_of_study,project_prefered_skills,project_prefered_fields_of_study,match_persentage
162,"['C#', 'Python', 'Java', 'Spring Boot', 'React']",Data Science,"['HTML', 'SQL', 'Spring Boot', 'Java', 'Kubernetes', 'React']",['Software Engineering'],35.0
163,"['Machine Learning', 'Spring Boot', 'Python', 'CSS', 'Kubernetes']",Data Science,"['Data Analysis', 'Spring Boot', 'C#', 'Java', 'CSS']","['Physics', 'Computer Science']",28.0
164,"['Spring Boot', 'React', 'Docker']",AI/ML,"['React', 'SQL', 'Java', 'Machine Learning', 'C#', 'AWS']","['Mathematics', 'AI/ML']",41.67
165,"['Machine Learning', 'SQL', 'React', 'Kubernetes', 'Java']",Mathematics,"['CSS', 'Spring Boot', 'HTML', 'Machine Learning', 'React', 'Kubernetes']","['Mechanical Engineering', 'Computer Science']",35.0
166,"['Docker', 'SQL', 'Spring Boot']",Computer Science,"['AWS', 'React', 'Docker', 'SQL', 'Machine Learning']","['Data Science', 'AI/ML', 'Software Engineering']",28.0
167,"['Spring Boot', 'Docker', 'Python', 'HTML']",Computer Science,"['React', 'Kubernetes', 'SQL']","['Mathematics', 'Computer Science', 'Electrical Engineering']",30.0
168,"['AWS', 'C#', 'SQL', 'TensorFlow', 'HTML']",AI/ML,"['Machine Learning', 'Java', 'TensorFlow', 'React', 'AWS', 'SQL']",['Software Engineering'],35.0
169,"['Spring Boot', 'Python', 'Docker', 'TensorFlow', 'SQL']",Software Engineering,"['HTML', 'Kubernetes', 'Python', 'Docker']",['Physics'],35.0
170,"['Docker', 'Machine Learning', 'SQL', 'CSS']",Mechanical Engineering,"['Spring Boot', 'C#', 'Docker']",['Data Science'],23.33
171,"['Java', 'Data Analysis']",Electrical Engineering,"['Kubernetes', 'Docker', 'SQL']","['Software Engineering', 'Mathematics']",0.0
172,"['C#', 'Docker', 'TensorFlow', 'Python', 'AWS']",Electrical Engineering,"['Data Analysis', 'C#', 'SQL']",['Data Science'],23.33
173,"['AWS', 'Data Analysis', 'TensorFlow', 'CSS', 'Python']",Electrical Engineering,"['React', 'SQL', 'TensorFlow', 'Kubernetes']",['Mechanical Engineering'],17.5
174,"['Spring Boot', 'Data Analysis']",Electrical Engineering,"['AWS', 'CSS', 'C#', 'Python']","['Computer Science', 'Software Engineering', 'Mechanical Engineering']",0.0
175,"['SQL', 'Java', 'Kubernetes', 'Spring Boot']",Electrical Engineering,"['SQL', 'HTML', 'Java', 'Python', 'TensorFlow']","['Mechanical Engineering', 'Software Engineering', 'Data Science']",28.0
176,"['Machine Learning', 'Data Analysis', 'Kubernetes', 'CSS']",Electrical Engineering,"['SQL', 'Java', 'Kubernetes', 'Data Analysis', 'TensorFlow', 'HTML']","['Mathematics', 'Data Science', 'Electrical Engineering']",53.33
177,"['CSS', 'SQL', 'TensorFlow', 'HTML']",Data Science,"['Docker', 'C#', 'Kubernetes', 'CSS', 'Machine Learning', 'Java']","['Computer Science', 'AI/ML', 'Electrical Engineering']",11.67
178,"['Python', 'Spring Boot']",AI/ML,"['Machine Learning', 'Kubernetes', 'HTML', 'Spring Boot']","['Mathematics', 'Computer Science', 'Mechanical Engineering']",17.5
179,"['Machine Learning', 'Data Analysis']",Data Science,"['Kubernetes', 'Python', 'Machine Learning', 'React']",['Electrical Engineering'],17.5
180,"['Python', 'HTML', 'Java', 'React', 'Machine Learning']",Mechanical Engineering,"['AWS', 'TensorFlow', 'Docker', 'React', 'SQL', 'HTML']","['Software Engineering', 'Mathematics', 'Physics']",23.33
181,"['Java', 'CSS', 'HTML', 'Python']",Mechanical Engineering,"['C#', 'CSS', 'Python']","['AI/ML', 'Physics', 'Mathematics']",46.67
182,"['Kubernetes', 'HTML', 'CSS', 'Machine Learning']",Software Engineering,"['CSS', 'AWS', 'TensorFlow']","['Mathematics', 'Software Engineering', 'Mechanical Engineering']",53.33
183,"['SQL', 'Kubernetes', 'HTML', 'C#']",Electrical Engineering,"['C#', 'HTML', 'React', 'Python', 'Data Analysis']","['Computer Science', 'AI/ML', 'Mathematics']",28.0
184,"['C#', 'Spring Boot']",Software Engineering,"['Docker', 'Kubernetes', 'TensorFlow']","['Data Science', 'Physics']",0.0
185,"['Spring Boot', 'TensorFlow', 'Machine Learning']",Mechanical Engineering,"['Java', 'Python', 'AWS']","['Software Engineering', 'Mathematics']",0.0
186,"['SQL', 'Spring Boot', 'React', 'Python']",AI/ML,"['CSS', 'SQL', 'Machine Learning', 'Kubernetes']","['Mechanical Engineering', 'AI/ML']",47.5
187,"['Java', 'TensorFlow', 'CSS', 'SQL']",AI/ML,"['Docker', 'Python', 'TensorFlow', 'CSS', 'HTML']","['AI/ML', 'Computer Science']",58.0
188,"['C#', 'HTML', 'Python', 'Java', 'AWS']",Data Science,"['C#', 'Spring Boot', 'AWS', 'Kubernetes', 'SQL', 'React']","['Mechanical Engineering', 'Computer Science', 'Software Engineering']",23.33
189,"['CSS', 'HTML']",Mechanical Engineering,"['Spring Boot', 'AWS', 'Data Analysis', 'C#', 'CSS', 'TensorFlow']",['Data Science'],11.67
190,"['Machine Learning', 'CSS', 'TensorFlow', 'Kubernetes', 'AWS']",Data Science,"['Kubernetes', 'HTML', 'Python']","['Electrical Engineering', 'Mechanical Engineering']",23.33
191,"['Java', 'Machine Learning', 'TensorFlow', 'HTML', 'Kubernetes']",Mechanical Engineering,"['HTML', 'Data Analysis', 'Spring Boot', 'AWS']","['Software Engineering', 'Mechanical Engineering', 'AI/ML']",47.5
192,"['C#', 'SQL', 'Data Analysis', 'Java', 'Kubernetes']",Data Science,"['HTML', 'Machine Learning', 'Python', 'Kubernetes', 'C#']",['Data Science'],58.0
193,"['CSS', 'Kubernetes', 'React', 'SQL']",Mechanical Engineering,"['React', 'C#', 'Data Analysis', 'HTML', 'AWS', 'Docker']","['AI/ML', 'Mathematics']",11.67
194,"['Spring Boot', 'C#', 'SQL', 'Python']",Mathematics,"['Java', 'Machine Learning', 'CSS']","['Physics', 'Electrical Engineering']",0.0
195,"['Spring Boot', 'TensorFlow', 'HTML', 'Python', 'Machine Learning']",Mechanical Engineering,"['HTML', 'SQL', 'CSS', 'C#']","['Mechanical Engineering', 'Mathematics', 'Electrical Engineering']",47.5
196,"['Python', 'HTML', 'Java', 'Spring Boot']",Electrical Engineering,"['Kubernetes', 'Data Analysis', 'Java', 'Python']","['Software Engineering', 'AI/ML', 'Mechanical Engineering']",35.0
197,"['TensorFlow', 'C#', 'React', 'Docker']",Mechanical Engineering,"['TensorFlow', 'CSS', 'React', 'AWS', 'Kubernetes', 'Data Analysis']","['Mathematics', 'Mechanical Engineering', 'Electrical Engineering']",53.33
198,"['Kubernetes', 'Docker']",AI/ML,"['HTML', 'Kubernetes', 'C#', 'AWS', 'CSS', 'React']","['Mechanical Engineering', 'Data Science']",11.67
199,"['Java', 'Docker', 'Data Analysis']",Physics,"['HTML', 'Machine Learning', 'CSS', 'C#', 'SQL']",['Software Engineering'],0.0
200,"['SQL', 'Data Analysis', 'CSS']",Mathematics,"['HTML', 'Data Analysis', 'SQL', 'C#']","['Electrical Engineering', 'Data Science']",35.0
201,"['AWS', 'C#', 'SQL', 'Python']",Mechanical Engineering,"['CSS', 'Kubernetes', 'SQL', 'C#']",['Physics'],35.0
202,"['AWS', 'C#', 'Kubernetes', 'React', 'SQL']",Software Engineering,"['HTML', 'Docker', 'SQL', 'CSS', 'Java', 'AWS']","['Computer Science', 'Physics', 'Data Science']",23.33
203,"['Spring Boot', 'Data Analysis']",Computer Science,"['HTML', 'Docker', 'Machine Learning', 'C#']","['Software Engineering', 'Electrical Engineering', 'Mathematics']",0.0
204,"['SQL', 'Data Analysis']",Mathematics,"['Machine Learning', 'React', 'C#', 'Kubernetes']","['Mathematics', 'Computer Science']",30.0
205,"['Docker', 'Data Analysis', 'HTML']",AI/ML,"['SQL', 'C#', 'Machine Learning', 'Docker', 'Java']",['Computer Science'],14.0
206,"['Machine Learning', 'C#', 'Data Analysis', 'Spring Boot', 'SQL']",Software Engineering,"['CSS', 'AWS', 'Python', 'Java', 'HTML']","['Physics', 'Data Science', 'Computer Science']",0.0
207,"['SQL', 'React', 'Java']",Data Science,"['HTML', 'C#', 'AWS', 'Python', 'SQL']",['Physics'],14.0
208,"['Java', 'Kubernetes']",Mechanical Engineering,"['Kubernetes', 'C#', 'Java']",['Physics'],46.67
209,"['TensorFlow', 'React', 'Python']",Physics,"['Python', 'HTML', 'Data Analysis']",['Software Engineering'],23.33
210,"['Machine Learning', 'Kubernetes', 'React', 'HTML', 'Data Analysis']",AI/ML,"['AWS', 'TensorFlow', 'Machine Learning']","['Data Science', 'AI/ML', 'Computer Science']",53.33
211,"['Spring Boot', 'TensorFlow', 'Python', 'Data Analysis']",Mathematics,"['C#', 'Spring Boot', 'SQL']","['Mechanical Engineering', 'AI/ML']",23.33
212,"['Spring Boot', 'C#', 'Python', 'Java', 'Data Analysis']",Software Engineering,"['AWS', 'Spring Boot', 'React']","['AI/ML', 'Mathematics']",23.33
213,"['SQL', 'TensorFlow']",AI/ML,"['Kubernetes', 'CSS', 'AWS', 'Spring Boot', 'C#', 'Docker']","['Physics', 'Electrical Engineering', 'Data Science']",0.0
214,"['CSS', 'Data Analysis']",Mechanical Engineering,"['HTML', 'C#', 'Kubernetes', 'Machine Learning', 'CSS']","['Electrical Engineering', 'Software Engineering', 'Computer Science']",14.0
215,"['TensorFlow', 'React', 'Spring Boot']",Software Engineering,"['Spring Boot', 'TensorFlow', 'CSS']",['Software Engineering'],76.67
216,"['Docker', 'Spring Boot', 'AWS', 'Data Analysis', 'C#']",Electrical Engineering,"['Docker', 'C#', 'AWS', 'Data Analysis', 'Java', 'React']","['Computer Science', 'Physics']",46.67
217,"['CSS', 'Kubernetes', 'Python']",Mathematics,"['Spring Boot', 'Kubernetes', 'SQL', 'AWS', 'TensorFlow']",['Physics'],14.0
218,"['AWS', 'TensorFlow', 'Data Analysis']",Mathematics,"['AWS', 'React', 'TensorFlow']","['Software Engineering', 'Physics', 'Computer Science']",46.67
219,"['Machine Learning', 'SQL', 'Spring Boot']",Electrical Engineering,"['React', 'C#', 'CSS']","['Data Science', 'Mathematics']",0.0
220,"['CSS', 'HTML', 'Machine Learning']",Mathematics,"['Data Analysis', 'C#', 'HTML', 'Python', 'TensorFlow']",['Mechanical Engineering'],14.0
221,"['Python', 'CSS', 'C#', 'HTML', 'Java']",Electrical Engineering,"['HTML', 'Spring Boot', 'SQL', 'Kubernetes', 'Docker', 'AWS']","['Software Engineering', 'Data Science']",11.67
222,"['TensorFlow', 'Machine Learning']",Mechanical Engineering,"['TensorFlow', 'SQL', 'Java', 'React', 'Machine Learning', 'C#']","['Mathematics', 'AI/ML']",23.33
223,"['SQL', 'HTML', 'Spring Boot']",Electrical Engineering,"['Java', 'Kubernetes', 'HTML', 'Docker']","['AI/ML', 'Mechanical Engineering']",17.5
224,"['Spring Boot', 'Machine Learning', 'HTML']",Mechanical Engineering,"['Kubernetes', 'C#', 'HTML', 'AWS']",['Electrical Engineering'],17.5
225,"['React', 'SQL']",Software Engineering,"['Java', 'Docker', 'Python', 'SQL']","['Mechanical Engineering', 'Physics', 'Data Science']",17.5
226,"['Kubernetes', 'Java', 'AWS', 'Spring Boot']",Computer Science,"['Python', 'SQL', 'C#', 'Machine Learning']","['Electrical Engineering', 'Software Engineering']",0.0
227,"['Java', 'Spring Boot', 'Python', 'Kubernetes']",Physics,"['Spring Boot', 'Python', 'Java', 'CSS']",['AI/ML'],52.5
228,"['Spring Boot', 'C#', 'AWS', 'HTML', 'Python']",Computer Science,"['Kubernetes', 'C#', 'Docker', 'AWS']","['Data Science', 'Mathematics']",35.0
229,"['CSS', 'AWS', 'SQL', 'Docker', 'Machine Learning']",Electrical Engineering,"['CSS', 'HTML', 'Python', 'AWS', 'Data Analysis', 'Spring Boot']","['AI/ML', 'Data Science', 'Physics']",23.33
230,"['Kubernetes', 'TensorFlow', 'HTML']",AI/ML,"['React', 'AWS', 'Python', 'Java']",['Physics'],0.0
231,"['Python', 'AWS', 'CSS', 'Machine Learning', 'C#']",Mechanical Engineering,"['SQL', 'Spring Boot', 'CSS', 'Docker', 'HTML', 'React']",['AI/ML'],11.67
232,"['AWS', 'TensorFlow', 'Data Analysis', 'Docker']",AI/ML,"['Java', 'SQL', 'CSS', 'AWS', 'Docker', 'Python']",['Computer Science'],23.33
233,"['C#', 'Python', 'SQL', 'Docker']",Data Science,"['SQL', 'Python', 'Docker', 'HTML']","['Software Engineering', 'Electrical Engineering']",52.5
234,"['Data Analysis', 'Python', 'CSS', 'Kubernetes', 'Machine Learning']",Software Engineering,"['Java', 'SQL', 'Machine Learning']","['Data Science', 'AI/ML']",23.33
235,"['Python', 'CSS']",Physics,"['HTML', 'TensorFlow', 'SQL', 'Machine Learning']","['Mathematics', 'Electrical Engineering', 'Software Engineering']",0.0
236,"['C#', 'Java', 'Kubernetes', 'Python']",Mechanical Engineering,"['AWS', 'Java', 'Python', 'CSS', 'C#']","['Data Science', 'Mathematics']",42.0
237,"['Python', 'Data Analysis', 'React', 'Kubernetes', 'AWS']",Software Engineering,"['Docker', 'Machine Learning', 'Kubernetes', 'Spring Boot']","['Mathematics', 'Physics', 'Data Science']",17.5
238,"['Java', 'CSS', 'Kubernetes', 'TensorFlow', 'HTML']",Computer Science,"['Machine Learning', 'C#', 'Docker', 'AWS', 'Python', 'HTML']","['AI/ML', 'Mathematics']",11.67
239,"['React', 'Java', 'Kubernetes', 'Docker', 'Python']",Computer Science,"['Python', 'Machine Learning', 'HTML', 'AWS']","['Mechanical Engineering', 'AI/ML']",17.5
240,"['Spring Boot', 'Java']",Computer Science,"['Java', 'AWS', 'HTML', 'Docker', 'C#']","['Mechanical Engineering', 'AI/ML']",14.0
241,"['React', 'C#']",Mechanical Engineering,"['Docker', 'SQL', 'Python']",['Physics'],0.0
242,"['SQL', 'HTML', 'React', 'TensorFlow', 'Java']",Data Science,"['React', 'CSS', 'Spring Boot', 'TensorFlow', 'SQL']","['Mechanical Engineering', 'Software Engineering', 'Computer Science']",42.0
243,"['Python', 'TensorFlow', 'CSS', 'Machine Learning', 'Kubernetes']",Mechanical Engineering,"['C#', 'Kubernetes', 'Java', 'TensorFlow', 'Machine Learning']","['Electrical Engineering', 'Data Science']",42.0
244,"['Data Analysis', 'Java', 'Spring Boot', 'HTML']",Electrical Engineering,"['React', 'Python', 'Java', 'SQL']",['Software Engineering'],17.5
245,"['Data Analysis', 'CSS', 'AWS']",Mathematics,"['Machine Learning', 'Kubernetes', 'AWS']","['Data Science', 'AI/ML']",23.33
246,"['Python', 'CSS', 'AWS', 'Machine Learning']",Data Science,"['AWS', 'Java', 'SQL', 'Docker']","['Mathematics', 'Computer Science', 'Physics']",17.5
247,"['AWS', 'Spring Boot', 'Machine Learning', 'Data Analysis', 'Docker']",Data Science,"['AWS', 'Python', 'Java']",['Software Engineering'],23.33
248,"['C#', 'Python', 'React']",Mechanical Engineering,"['Data Analysis', 'Python', 'TensorFlow', 'Kubernetes', 'AWS']",['Mathematics'],14.0
249,"['Spring Boot', 'CSS']",Software Engineering,"['C#', 'TensorFlow', 'Data Analysis', 'Java', 'Machine Learning', 'Spring Boot']","['Mathematics', 'AI/ML', 'Electrical Engineering']",11.67
250,"['Python', 'Docker', 'HTML', 'Spring Boot']",Data Science,"['HTML', 'Data Analysis', 'CSS', 'Spring Boot', 'SQL']","['Electrical Engineering', 'Software Engineering']",28.0
251,"['Docker', 'C#', 'Data Analysis', 'TensorFlow']",AI/ML,"['SQL', 'React', 'AWS', 'Data Analysis', 'Machine Learning', 'Java']",['Mathematics'],11.67
252,"['CSS', 'C#', 'Spring Boot', 'Python']",Physics,"['AWS', 'Java', 'Python', 'C#']","['Mathematics', 'Data Science']",35.0
253,"['SQL', 'Docker', 'Kubernetes']",AI/ML,"['Data Analysis', 'SQL', 'Python', 'HTML', 'C#', 'Machine Learning']","['Data Science', 'Electrical Engineering']",11.67
254,"['TensorFlow', 'HTML', 'SQL']",Data Science,"['SQL', 'HTML', 'Machine Learning', 'Java', 'Docker']",['Software Engineering'],28.0
255,"['Python', 'React', 'Java', 'AWS']",AI/ML,"['TensorFlow', 'AWS', 'Kubernetes', 'Spring Boot', 'Machine Learning', 'Docker']","['Electrical Engineering', 'AI/ML', 'Mechanical Engineering']",41.67
256,"['SQL', 'CSS', 'Data Analysis', 'HTML', 'C#']",Physics,"['SQL', 'Python', 'Spring Boot', 'Kubernetes', 'HTML', 'AWS']","['Electrical Engineering', 'Computer Science']",23.33
257,"['Spring Boot', 'Python', 'Java', 'Data Analysis']",Mathematics,"['Data Analysis', 'TensorFlow', 'Kubernetes', 'CSS']","['Mathematics', 'Physics']",47.5
258,"['CSS', 'Machine Learning', 'React', 'Spring Boot', 'Data Analysis']",AI/ML,"['SQL', 'AWS', 'Machine Learning', 'TensorFlow', 'Data Analysis']","['Mathematics', 'Electrical Engineering']",28.0
259,"['AWS', 'Docker', 'SQL', 'Data Analysis', 'Machine Learning']",AI/ML,"['Python', 'React', 'Java', 'C#', 'HTML']","['Software Engineering', 'Data Science']",0.0
260,"['React', 'CSS']",Computer Science,"['HTML', 'AWS', 'SQL', 'Docker']","['Software Engineering', 'Computer Science', 'Mathematics']",30.0
261,"['SQL', 'React']",Data Science,"['Machine Learning', 'HTML', 'C#', 'AWS', 'Docker', 'CSS']",['Computer Science'],0.0
262,"['Spring Boot', 'Machine Learning', 'Java']",Physics,"['HTML', 'React', 'CSS']","['Physics', 'Mechanical Engineering']",30.0
263,"['Docker', 'AWS']",Mechanical Engineering,"['C#', 'Java', 'CSS', 'Spring Boot', 'AWS']",['Mechanical Engineering'],44.0
264,"['Python', 'SQL', 'AWS', 'Machine Learning', 'C#']",Mechanical Engineering,"['Python', 'C#', 'AWS']",['AI/ML'],70.0
265,"['Machine Learning', 'React', 'SQL', 'AWS']",Data Science,"['SQL', 'Docker', 'CSS', 'React', 'Java']",['AI/ML'],28.0
266,"['Spring Boot', 'Data Analysis', 'React']",Computer Science,"['Machine Learning', 'SQL', 'TensorFlow', 'React']","['Computer Science', 'Software Engineering']",47.5
267,"['HTML', 'Java', 'SQL', 'TensorFlow']",Software Engineering,"['Kubernetes', 'SQL', 'AWS', 'C#']",['AI/ML'],17.5
268,"['HTML', 'Docker', 'Python']",Mechanical Engineering,"['React', 'AWS', 'C#', 'CSS', 'Java', 'TensorFlow']","['Mathematics', 'Electrical Engineering']",0.0
269,"['CSS', 'React']",Physics,"['Python', 'Spring Boot', 'Docker', 'TensorFlow', 'Kubernetes']","['Electrical Engineering', 'Data Science', 'AI/ML']",0.0
270,"['Python', 'C#', 'React', 'Java', 'Data Analysis']",Physics,"['Docker', 'Data Analysis', 'TensorFlow', 'Spring Boot', 'Kubernetes']",['Software Engineering'],14.0
271,"['Machine Learning', 'Java', 'Docker', 'Spring Boot']",AI/ML,"['Python', 'HTML', 'SQL', 'CSS', 'Docker', 'Machine Learning']",['Mechanical Engineering'],23.33
272,"['React', 'Docker', 'Kubernetes', 'Spring Boot', 'CSS']",Data Science,"['SQL', 'Java', 'Machine Learning', 'TensorFlow']","['Electrical Engineering', 'AI/ML']",0.0
273,"['Java', 'C#', 'CSS']",Mechanical Engineering,"['C#', 'AWS', 'Kubernetes', 'HTML', 'Docker', 'Data Analysis']","['Data Science', 'Mechanical Engineering', 'Software Engineering']",41.67
274,"['AWS', 'React']",Mechanical Engineering,"['Docker', 'React', 'TensorFlow', 'SQL', 'Spring Boot', 'C#']","['AI/ML', 'Mechanical Engineering']",41.67
275,"['Java', 'SQL']",Electrical Engineering,"['React', 'HTML', 'C#', 'Spring Boot', 'CSS']",['Computer Science'],0.0
276,"['C#', 'Python']",Mathematics,"['Java', 'C#', 'SQL', 'HTML', 'React']","['Computer Science', 'AI/ML']",14.0
277,"['Kubernetes', 'SQL', 'TensorFlow', 'Machine Learning']",Electrical Engineering,"['Spring Boot', 'React', 'SQL']","['Data Science', 'Mechanical Engineering', 'Mathematics']",23.33
278,"['Machine Learning', 'Docker', 'Python', 'SQL']",Electrical Engineering,"['C#', 'Java', 'Spring Boot']","['Physics', 'Computer Science']",0.0
279,"['Python', 'TensorFlow', 'HTML']",AI/ML,"['Docker', 'TensorFlow', 'Kubernetes', 'Spring Boot', 'Java', 'AWS']","['Computer Science', 'Software Engineering', 'AI/ML']",41.67
280,"['C#', 'CSS']",Mathematics,"['TensorFlow', 'Spring Boot', 'Data Analysis', 'Python', 'AWS']","['Mechanical Engineering', 'Computer Science']",0.0
281,"['Java', 'Kubernetes']",Data Science,"['Machine Learning', 'CSS', 'Spring Boot']",['Mechanical Engineering'],0.0
282,"['Spring Boot', 'Kubernetes', 'C#', 'CSS']",Electrical Engineering,"['Spring Boot', 'TensorFlow', 'Machine Learning', 'C#']","['Data Science', 'Electrical Engineering', 'AI/ML']",65.0
283,"['Spring Boot', 'React']",Data Science,"['Kubernetes', 'Java', 'Docker', 'SQL', 'Python']","['Electrical Engineering', 'Software Engineering']",0.0
284,"['CSS', 'TensorFlow', 'Data Analysis']",Mathematics,"['HTML', 'CSS', 'Java', 'TensorFlow', 'Python']","['Computer Science', 'Software Engineering', 'Electrical Engineering']",28.0
285,"['SQL', 'Java', 'Kubernetes', 'Data Analysis']",Software Engineering,"['Docker', 'AWS', 'CSS', 'Python']","['Data Science', 'Electrical Engineering']",0.0
286,"['Data Analysis', 'Java', 'TensorFlow', 'React', 'HTML']",Mechanical Engineering,"['Java', 'TensorFlow', 'C#', 'CSS', 'React']","['Mathematics', 'Mechanical Engineering']",72.0
287,"['TensorFlow', 'React', 'C#', 'Python', 'SQL']",Electrical Engineering,"['Kubernetes', 'Docker', 'SQL', 'AWS']","['AI/ML', 'Data Science']",17.5
288,"['Spring Boot', 'C#', 'AWS', 'SQL']",Software Engineering,"['Java', 'Data Analysis', 'HTML', 'React', 'AWS', 'C#']",['AI/ML'],23.33
289,"['Docker', 'Java', 'HTML', 'TensorFlow']",Data Science,"['C#', 'TensorFlow', 'Data Analysis']",['Mathematics'],23.33
290,"['Spring Boot', 'Machine Learning']",Mathematics,"['TensorFlow', 'HTML', 'Spring Boot', 'Java', 'SQL', 'Docker']","['Computer Science', 'AI/ML']",11.67
291,"['CSS', 'C#', 'TensorFlow', 'Spring Boot', 'Java']",Software Engineering,"['HTML', 'Java', 'Docker', 'SQL']",['Electrical Engineering'],17.5
292,"['React', 'C#', 'AWS']",Physics,"['Machine Learning', 'Java', 'TensorFlow']","['Physics', 'AI/ML', 'Mathematics']",30.0
293,"['Data Analysis', 'Spring Boot']",AI/ML,"['SQL', 'Spring Boot', 'CSS', 'Data Analysis', 'AWS', 'Kubernetes']","['Data Science', 'Electrical Engineering']",23.33
294,"['SQL', 'Kubernetes', 'Python', 'React']",Data Science,"['Kubernetes', 'React', 'SQL']","['Mathematics', 'Data Science']",100.0
295,"['Java', 'Spring Boot', 'TensorFlow']",Electrical Engineering,"['Kubernetes', 'AWS', 'Docker', 'Spring Boot']",['Data Science'],17.5
296,"['Docker', 'HTML']",Software Engineering,"['Machine Learning', 'Kubernetes', 'Data Analysis', 'HTML', 'React', 'AWS']","['Mechanical Engineering', 'Electrical Engineering', 'Physics']",11.67
297,"['SQL', 'C#']",AI/ML,"['AWS', 'Python', 'C#']",['Mechanical Engineering'],23.33
298,"['Spring Boot', 'Python', 'AWS']",Mathematics,"['Python', 'HTML', 'TensorFlow']",['Software Engineering'],23.33
299,"['Kubernetes', 'CSS']",Software Engineering,"['AWS', 'SQL', 'Python', 'Data Analysis', 'Machine Learning', 'Spring Boot']","['Data Science', 'Mechanical Engineering']",0.0
300,"['TensorFlow', 'React', 'Docker']",AI/ML,"['C#', 'CSS', 'Data Analysis']","['AI/ML', 'Electrical Engineering']",30.0
301,"['HTML', 'Kubernetes']",Electrical Engineering,"['CSS', 'Data Analysis', 'AWS', 'HTML', 'Kubernetes']","['Computer Science', 'AI/ML', 'Mathematics']",28.0
302,"['Data Analysis', 'HTML', 'React']",Computer Science,"['React', 'HTML', 'CSS', 'AWS']","['Data Science', 'Electrical Engineering', 'AI/ML']",35.0
303,"['React', 'Java']",Software Engineering,"['Docker', 'Python', 'Data Analysis', 'Kubernetes', 'C#']","['Computer Science', 'Software Engineering', 'AI/ML']",30.0
304,"['Data Analysis', 'Python', 'Kubernetes', 'Spring Boot', 'Docker']",Physics,"['SQL', 'Java', 'TensorFlow', 'C#']",['Electrical Engineering'],0.0
305,"['HTML', 'Java', 'TensorFlow', 'Machine Learning']",AI/ML,"['TensorFlow', 'Data Analysis', 'React', 'AWS', 'SQL']",['Computer Science'],14.0
306,"['Data Analysis', 'Python', 'Java', 'SQL', 'AWS']",Mathematics,"['CSS', 'SQL', 'HTML']","['Data Science', 'Software Engineering']",23.33
307,"['C#', 'Machine Learning']",Computer Science,"['Kubernetes', 'Data Analysis', 'TensorFlow', 'C#', 'Python', 'CSS']",['Mechanical Engineering'],11.67
308,"['Kubernetes', 'HTML']",AI/ML,"['Kubernetes', 'Spring Boot', 'TensorFlow']",['Physics'],23.33
309,"['TensorFlow', 'Spring Boot']",Mechanical Engineering,"['AWS', 'CSS', 'React', 'Spring Boot']","['Software Engineering', 'Physics']",17.5
310,"['HTML', 'Data Analysis']",Mathematics,"['Data Analysis', 'Spring Boot', 'React', 'AWS']",['Software Engineering'],17.5
311,"['Machine Learning', 'Data Analysis', 'Docker']",Electrical Engineering,"['Machine Learning', 'SQL', 'Docker', 'CSS']","['Computer Science', 'Electrical Engineering']",65.0
312,"['Docker', 'Data Analysis', 'SQL', 'Java', 'Kubernetes']",AI/ML,"['Data Analysis', 'Machine Learning', 'React', 'CSS']","['Data Science', 'Computer Science']",17.5
313,"['Kubernetes', 'Docker', 'CSS', 'React']",Mechanical Engineering,"['TensorFlow', 'Data Analysis', 'React', 'Python', 'Docker']",['Software Engineering'],28.0
314,"['Kubernetes', 'Spring Boot', 'Docker', 'TensorFlow']",Mechanical Engineering,"['Docker', 'TensorFlow', 'CSS', 'SQL', 'Kubernetes']",['Electrical Engineering'],42.0
315,"['React', 'Java']",Data Science,"['CSS', 'HTML', 'SQL']","['Computer Science', 'Data Science']",30.0
316,"['Java', 'Data Analysis', 'Machine Learning', 'Python', 'SQL']",Electrical Engineering,"['Kubernetes', 'Spring Boot', 'Machine Learning']","['AI/ML', 'Data Science']",23.33
317,"['C#', 'Spring Boot', 'Kubernetes']",Data Science,"['AWS', 'React', 'C#', 'HTML', 'Spring Boot', 'Python']",['Physics'],23.33
318,"['C#', 'Machine Learning', 'TensorFlow', 'Docker']",AI/ML,"['C#', 'Python', 'TensorFlow', 'Docker', 'Machine Learning', 'AWS']","['Electrical Engineering', 'Mathematics']",46.67
319,"['Java', 'TensorFlow', 'HTML', 'SQL']",Physics,"['HTML', 'Spring Boot', 'Kubernetes', 'AWS']","['Mathematics', 'Electrical Engineering', 'Physics']",47.5
320,"['Docker', 'Java']",Physics,"['CSS', 'TensorFlow', 'Machine Learning', 'Spring Boot', 'Data Analysis']",['Electrical Engineering'],0.0
321,"['Java', 'CSS', 'C#', 'React']",Mechanical Engineering,"['React', 'C#', 'SQL', 'AWS', 'Python', 'Java']",['Electrical Engineering'],35.0
322,"['SQL', 'C#', 'TensorFlow']",Data Science,"['CSS', 'Spring Boot', 'SQL', 'AWS', 'Machine Learning']",['Software Engineering'],14.0
323,"['Java', 'Data Analysis', 'HTML', 'TensorFlow']",Software Engineering,"['Python', 'AWS', 'TensorFlow', 'HTML', 'Kubernetes', 'Spring Boot']","['Software Engineering', 'Mechanical Engineering', 'Electrical Engineering']",53.33
324,"['Machine Learning', 'HTML']",Software Engineering,"['Spring Boot', 'TensorFlow', 'AWS', 'Python', 'SQL', 'CSS']","['Computer Science', 'Data Science', 'AI/ML']",0.0
